query,comment,true_label
Best way to hold B site on Dust 2?,You need Omen because you need regenerating smokes for middle control.,0
How to use the Sandy effectively in melee?,Activate it only when getting shot at. Use dash-attacks to close the gap.,1
What is the best Y level to mine for diamonds in 1.20?,Servers are down again. Awesome.,0
How to cure a zombie villager?,"Here's what worked for me: You need to craft a weakness potion, turn it into splash with gunpowder, and use a golden apple.",1
What is the best build to beat the Elden Beast?,Wait for the mobile port.,0
Where to get the Apogee Sandevistan?,Miyazaki is a genius.,0
How do you dodge Waterfowl Dance from Malenia?,"My internet is lagging hard today, can't even play.",0
Best way to hold B site on Dust 2?,Smoke tunnel entrance immediately and spam the left side with an M4.,1
How does the economy work for loss bonus?,"You get 1900 for loss 1, 2400 for loss 2, and 2900 for loss 3 or more.",1
How to use the Sandy effectively in melee?,"After hours of trying, I can say: Use optical camo right before popping Sandy, they won't even see you.",1
What are the soft caps for Vigor in Elden Ring?,Does anyone know when the DLC drops?,0
How do you build a fully automatic wheat farm?,"Set up a farmer villager in a 9x9 farm, place a fence and hopper in the center.",1
Best cyberdeck for a netrunner build 2.0?,"From my experience, Tetratronic Rippler is king. It massively boosts combat quickhack damage.",1
Best smoke for Window on Mirage?,"Stand against the wall in T-spawn, aim at the wire junction, W+Jump bind. This strategy helped me a lot.",1
How does the sub-tick system work in CS2?,"Look at the target, not your crosshair. Let peripheral vision align it.",0
How to use the Sandy effectively in melee?,Pair it with the Byakko katana. The lunge ignores slow time physics.,1
Best way to hold B site on Dust 2?,"Basically, Play anti-flash. Look at the wall near car and listen for footsteps.",1
What is the best build to beat the Elden Beast?,Has anyone tried the new update? It broke my save file.,0
When should you buy a helmet on CT side?,Stop moving when you shoot. The movement penalty in this game is massive.,0
What is the best eco weapon round 2 after winning pistol?,Who else remembers when this game first launched?,0
Where to get the Apogee Sandevistan?,You can buy it from any ripperdoc once you reach level 40.,1
Best way to hold B site on Dust 2?,Does anyone know when the DLC drops?,0
How does the economy work for loss bonus?,"First loss you get 1900, second in a row 2400, third maximum is 2900.",1
Where to get the Apogee Sandevistan?,Tier 5 cyberware starts appearing at level 40. Apogee is among them. This is the most reliable method.,1
Best smoke for Window on Mirage?,"Here's what worked for me: From top mid, stand at the cart, aim at the middle of the antenna and regular throw.",1
Where to get the Apogee Sandevistan?,Crossfire from closet and window is almost impossible for Ts to break without utility.,0
